SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1447.00,1465.80,1415.85,1428.45,1428.45,1439.15,1088,8916,12850946.00,
500003,AEGIS LOGIS ,A ,Q,280.00,291.95,280.00,287.50,288.30,281.05,1144,27488,7871684.00,
500008,AMAR RAJA BA,A ,Q,888.00,888.00,859.25,862.35,866.80,864.80,1114,25584,22267506.00,
500009,A.SARABHAI  ,X ,Q,18.50,18.80,17.75,17.90,17.90,18.45,221,94141,1722782.00,
500010,HDFC        ,A ,Q,2545.00,2561.20,2500.30,2516.55,2516.55,2513.85,3448,55118,139483724.00,
500012,ANDHRA PETRO,X ,Q,62.50,64.40,59.35,61.05,61.05,62.45,655,212538,13018632.00,
500013,ANSAL INFRAS,B ,Q,7.14,7.24,6.89,7.02,6.89,6.92,227,70387,493841.00,
500014,UTIQUE      ,X ,Q,2.12,2.12,2.11,2.11,2.11,2.22,8,2992,6338.00,
500016,ARUNAHTEL   ,XT,Q,5.50,5.50,5.50,5.50,5.50,5.46,1,100,550.00,
500020,BOM DYEING  ,A ,Q,77.35,78.80,73.50,75.25,75.25,76.60,2177,453484,34794522.00,
500023,ASIANHOTNR  ,B ,Q,69.00,69.00,68.95,68.95,68.95,70.00,2,83,5724.00,
500027,ATUL LTD.   ,A ,Q,6784.00,6787.00,6588.20,6616.20,6659.00,6788.10,440,1142,7633151.00,
500028,ATV PROJECTS,XT,Q,4.70,5.00,4.65,4.65,4.65,4.88,31,11524,54112.00,
500031,BAJAJ ELECT.,A ,Q,950.00,976.50,930.05,937.40,939.00,949.75,1262,14003,13318381.00,
500032,BAJAJHIND   ,A ,Q,6.90,6.95,6.35,6.42,6.42,6.62,1777,1505228,9940811.00,
500033,FORCE MOTR  ,A ,Q,1265.60,1273.00,1205.55,1213.45,1206.00,1254.60,793,4779,5902552.00,
500034,BAJFINANCE  ,A ,Q,5409.10,5525.00,5306.45,5371.60,5371.60,5358.70,8993,112882,614586164.00,
500038,BALRAM.CHINI,A ,Q,199.00,205.90,198.00,201.45,200.30,196.15,3667,296576,60010002.00,
500039,BANCO PROD. ,B ,Q,154.65,156.60,140.90,145.65,145.40,156.45,2776,94313,14292094.00,
500040,CENTURY TEXT,A ,Q,497.40,497.40,471.75,476.80,476.50,488.00,1375,63680,31119863.00,
500041,BANNARI AMAN,A ,Q,1761.60,1761.60,1690.00,1727.90,1731.60,1737.35,21,79,135913.00,
500042,BASF INDIA  ,A ,Q,2160.00,2220.00,2061.95,2074.10,2074.10,2143.90,989,5027,10757345.00,
500043,BATA INDIA  ,A ,Q,1488.75,1494.40,1451.00,1470.25,1470.25,1479.35,1028,14215,20960748.00,
500048,BEML LTD    ,A ,Q,1390.00,1404.00,1277.00,1306.40,1306.40,1374.85,2248,39531,52939777.00,
500049,BHARAT ELECT,A ,Q,134.10,135.50,128.15,129.85,129.85,133.90,8999,1422497,188868390.00,
500052,BHANSALI ENG,A ,Q,155.10,157.00,140.70,147.15,146.90,155.10,1120,83973,12689115.00,
500055,TATASTLBSL  ,B ,Q,46.40,46.50,44.85,45.25,45.25,45.30,2250,744787,34112594.00,
500058,BIHAR SPONGE,XT,Q,1.86,1.86,1.86,1.86,1.86,1.83,11,2048,3809.00,
500060,BIRLACABLE  ,B ,Q,68.00,69.55,61.90,63.30,63.70,66.25,741,44826,2937421.00,
500067,BLUE STAR   ,A ,Q,885.00,905.00,850.10,861.70,859.40,875.25,632,7072,6212753.00,
500068,DISA INDIA  ,X ,Q,4530.00,4699.00,4350.00,4512.00,4550.00,4538.20,43,217,994547.00,
500069,BNK CAPITAL ,X ,Q,135.35,135.35,130.00,132.90,132.90,135.25,15,9302,1245162.00,
500074,BPL LTD.    ,B ,Q,25.60,27.05,25.25,25.40,25.25,26.55,259,27221,703641.00,
500078,OAL         ,B ,Q,602.00,602.00,547.20,580.85,569.00,578.70,753,8689,4913044.00,
500083,CENTURY EXT ,B ,Q,4.10,4.32,4.10,4.30,4.29,4.15,92,53677,228330.00,
500084,CESC LTD.   ,A ,Q,612.00,618.15,597.60,603.20,604.30,612.00,638,20873,12684536.00,
500085,CHAMBAL FERT,A ,Q,225.70,230.75,213.80,216.75,220.00,226.10,2605,140182,31199980.00,
500086,EXIDE IND.  ,A ,Q,193.35,196.20,186.85,188.35,188.35,192.50,9275,423658,80954621.00,
500087,CIPLA LTD.  ,A ,Q,778.45,778.45,751.00,754.90,754.90,772.85,6121,162711,124147850.00,
500089,DIC INDIA   ,B ,Q,399.00,401.25,390.60,390.95,396.00,399.90,79,2717,1080834.00,
500092,CRISIL LTD  ,A ,Q,1918.05,1918.60,1881.65,1905.45,1901.55,1913.15,238,668,1272730.00,
500093,CGPOWER     ,B ,Q,60.90,61.55,57.30,57.50,57.50,60.30,2698,567877,33038916.00,
