[24/Mar/2021 00:45:42] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[24/Mar/2021 00:45:42] DEBUG [django.utils.autoreload:288] Waiting for apps ready_event.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:299] Apps ready_event triggered. Sending autoreload_started signal.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/Documents/mine/zerodha_assignment/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/.local/lib/python3.6/site-packages/django/contrib/admin/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/.local/lib/python3.6/site-packages/django/contrib/auth/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/.local/lib/python3.6/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/.local/lib/python3.6/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/.local/lib/python3.6/site-packages/django/contrib/messages/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/.local/lib/python3.6/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /home/admin/Documents/mine/zerodha_assignment/bhavcopyapp/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:247] Watching dir /usr/local/lib/python3.6/dist-packages/rest_framework/locale with glob **/*.mo.
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/local/lib/python3.6/dist-packages/rest_framework/request.py first seen with mtime 1579004460.1999958
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/conf/urls/static.py first seen with mtime 1587582250.2999742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/pygments/lexers/_mapping.py first seen with mtime 1575354573.6922064
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/forms/models.py first seen with mtime 1587582250.9079742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/contrib/admin/sites.py first seen with mtime 1587582250.3039742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3/dist-packages/chardet/__init__.py first seen with mtime 1492022485.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/sqlparse/__init__.py first seen with mtime 1587582249.663974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/core/files/locks.py first seen with mtime 1587582250.8559742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/asyncio/constants.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/db/models/sql/query.py first seen with mtime 1587582250.903974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/sqlparse/compat.py first seen with mtime 1587582249.663974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3/dist-packages/simplejson/encoder.py first seen with mtime 1511545625.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/template/response.py first seen with mtime 1587582250.923974
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/conf/__init__.py first seen with mtime 1587582250.2079742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/urls/base.py first seen with mtime 1587582250.9319742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/xml/dom/domreg.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/templatetags/__init__.py first seen with mtime 1587582250.9279742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/email/quoprimime.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/template/backends/base.py first seen with mtime 1587582250.9279742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/contrib/admin/apps.py first seen with mtime 1587582250.2999742
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3/dist-packages/yaml/constructor.py first seen with mtime 1472428604.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/docutils/parsers/rst/states.py first seen with mtime 1589963861.4999483
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.6/email/charset.py first seen with mtime 1587174964.0
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/more_itertools/recipes.py first seen with mtime 1575354590.9682064
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /usr/local/lib/python3.6/dist-packages/rest_framework/decorators.py first seen with mtime 1579004460.1919956
[24/Mar/2021 00:45:43] DEBUG [django.utils.autoreload:351] File /home/admin/.local/lib/python3.6/site-packages/django/forms/widgets.py first seen with mtime 1587582250.9079742
